ticker,company,price,date
UNGA,Unga Group Limited,30,30/10/2020
WTK,Williamson Tea Kenya Limited,136.5,30/10/2020
XPRS,Express Kenya Limited,3.91,30/10/2020
ABSA,Absa Bank Kenya Plc,9.28,2/11/2020
ARM,ARM Cement Limited,5.55,2/11/2020
BAMB,Bamburi Cement Limited,22.8,2/11/2020
BAT,British American Tobacco (Kenya) Ltd.,336,2/11/2020
BERG,Crown Paints Kenya Limited,41.5,2/11/2020
BKG,Bank of Kigali Group Limited,12.75,2/11/2020
BOC,BOC Kenya Limited,56.5,2/11/2020
BRIT,Britam Holdings Limited,7.16,2/11/2020
C&G,Car and General (Kenya) Limited,25,2/11/2020
CABL,East African Cables Limited,1.49,2/11/2020
CARB,Carbacid Investments Limited,8.7,2/11/2020
CFC,Stanbic Holdings Limited,77,2/11/2020
CFCI,Liberty Kenya Holdings Limited,7.5,2/11/2020
CIC,CIC Insurance Group Limited,2.22,2/11/2020
COOP,Co-operative Bank of Kenya Limited,11.5,2/11/2020
DCON,Deacons (East Africa) Plc,0.45,2/11/2020
DTK,Diamond Trust Bank Kenya Limited,60,2/11/2020
EABL,East African Breweries Limited,150.5,2/11/2020
EGAD,Eaagads Limited,13.25,2/11/2020
EQTY,Equity Group Holdings Limited,33.35,2/11/2020
EVRD,Eveready East Africa Limited,0.99,2/11/2020
ARM,ARM Cement Limited,5.55,18/11/2020
FAHR,STANLIB Fahari Income REIT,5.6,2/11/2020
FIRE,Sameer Africa Limited,3.08,2/11/2020
FTGH,Flame Tree Group Holdings Limited,1.4,2/11/2020
GLD,NewGold Exchange Traded Fund,"1,970.00",2/11/2020
HAFR,Home Afrika Limited,0.41,2/11/2020
HFCK,Housing Finance Company Limited,3.74,2/11/2020
I&M,I&M Holdings Plc,43.95,2/11/2020
ICDC,Centum Investment Company Limited,18.05,2/11/2020
JUB,Jubilee Holdings Limited,270,2/11/2020
KAPC,Kapchorua Tea Company Limited,80,2/11/2020
KCB,KCB Bank Kenya Limited,35.9,2/11/2020
KEGN,Kenya Electricity Generating Co. Ltd.,5,2/11/2020
KNRE,Kenya Re-Insurance Corporation Ltd,2.25,2/11/2020
KPLC,Kenya Power & Lighting Co. Limited,1.76,2/11/2020
KPLC-P4,Kenya Power Pref. Shares at 4%,5,2/11/2020
KPLC-P7,Kenya Power Pref. Shares at 7%,6,2/11/2020
KQ,Kenya Airways Limited,3.83,2/11/2020
KUKZ,Kakuzi Limited,370,2/11/2020
KURV,Kurwitu Ventures Limited,"1,500.00",2/11/2020
LIMT,Limuru Tea Company Limited,400,2/11/2020
LKL,Longhorn Publishers Limited,4.61,2/11/2020
MSC,Mumias Sugar Company Limited,0.28,2/11/2020
NBK,National Bank of Kenya Limited,4.12,2/11/2020
NBV,Nairobi Business Ventures Ltd,0.71,2/11/2020
NIC,NIC Bank Limited,22.05,2/11/2020
NMG,Nation Media Group,15.85,2/11/2020
NSE,Nairobi Securities Exchange Limited,8.02,2/11/2020
OCH,Olympia Capital Holdings Limited,1.95,2/11/2020
ORCH,Kenya Orchards Limited,11.05,2/11/2020
PAFR,Sanlam Kenya Plc,12.3,2/11/2020
PORT,East African Portland Cement Co. Ltd,16,2/11/2020
SASN,Sasini Tea and Coffee Limited,20,2/11/2020
SCAN,ScanGroup Limited,6.38,2/11/2020
SCBK,Standard Chartered Bank Limited,159.5,2/11/2020
SCOM,Safaricom Limited,31.25,2/11/2020
SGL,Standard Group Limited,25.3,2/11/2020
TCL,Trans Century Limited,1.57,2/11/2020
TOTL,Total Kenya Limited,26,2/11/2020
TPSE,TPS Eastern Africa (Serena) Limited,14.45,2/11/2020
UCHM,Uchumi Supermarket Limited,0.29,2/11/2020
UMME,Umeme Limited,7.16,2/11/2020
UNGA,Unga Group Limited,30,2/11/2020
WTK,Williamson Tea Kenya Limited,136.25,2/11/2020
XPRS,Express Kenya Limited,3.91,2/11/2020
ABSA,Absa Bank Kenya Plc,9.22,3/11/2020
ARM,ARM Cement Limited,5.55,3/11/2020
BAMB,Bamburi Cement Limited,24,3/11/2020
BAT,British American Tobacco (Kenya) Ltd.,336,3/11/2020
BERG,Crown Paints Kenya Limited,41.5,3/11/2020
BKG,Bank of Kigali Group Limited,12.55,3/11/2020
BOC,BOC Kenya Limited,56.5,3/11/2020
BRIT,Britam Holdings Limited,7.26,3/11/2020
C&G,Car and General (Kenya) Limited,25,3/11/2020
CABL,East African Cables Limited,1.58,3/11/2020
CARB,Carbacid Investments Limited,8.7,3/11/2020
CFC,Stanbic Holdings Limited,81,3/11/2020
CFCI,Liberty Kenya Holdings Limited,7.5,3/11/2020
CIC,CIC Insurance Group Limited,2.2,3/11/2020
COOP,Co-operative Bank of Kenya Limited,11.55,3/11/2020
DCON,Deacons (East Africa) Plc,0.45,3/11/2020
DTK,Diamond Trust Bank Kenya Limited,60,3/11/2020
EABL,East African Breweries Limited,151,3/11/2020
EGAD,Eaagads Limited,13.25,3/11/2020
EQTY,Equity Group Holdings Limited,32.75,3/11/2020
EVRD,Eveready East Africa Limited,1.06,3/11/2020
FAHR,STANLIB Fahari Income REIT,5.5,3/11/2020
FIRE,Sameer Africa Limited,3.08,3/11/2020
FTGH,Flame Tree Group Holdings Limited,1.33,3/11/2020
GLD,NewGold Exchange Traded Fund,"1,970.00",3/11/2020
HAFR,Home Afrika Limited,0.41,3/11/2020
HFCK,Housing Finance Company Limited,3.7,3/11/2020
I&M,I&M Holdings Plc,43.95,3/11/2020
ICDC,Centum Investment Company Limited,17.5,3/11/2020
JUB,Jubilee Holdings Limited,268.75,3/11/2020
KAPC,Kapchorua Tea Company Limited,80,3/11/2020
KCB,KCB Bank Kenya Limited,35.6,3/11/2020
KEGN,Kenya Electricity Generating Co. Ltd.,4.95,3/11/2020
KNRE,Kenya Re-Insurance Corporation Ltd,2.24,3/11/2020
KPLC,Kenya Power & Lighting Co. Limited,1.71,3/11/2020
KPLC-P4,Kenya Power Pref. Shares at 4%,5,3/11/2020
KPLC-P7,Kenya Power Pref. Shares at 7%,6,3/11/2020
KQ,Kenya Airways Limited,3.83,3/11/2020
KUKZ,Kakuzi Limited,370,3/11/2020
KURV,Kurwitu Ventures Limited,"1,500.00",3/11/2020
LIMT,Limuru Tea Company Limited,360,3/11/2020
LKL,Longhorn Publishers Limited,4.53,3/11/2020
MSC,Mumias Sugar Company Limited,0.28,3/11/2020
NBK,National Bank of Kenya Limited,4.12,3/11/2020
NBV,Nairobi Business Ventures Ltd,0.71,3/11/2020
NIC,NIC Bank Limited,22,3/11/2020
NMG,Nation Media Group,15.55,3/11/2020
NSE,Nairobi Securities Exchange Limited,7.54,3/11/2020
OCH,Olympia Capital Holdings Limited,2.14,3/11/2020
ORCH,Kenya Orchards Limited,11.05,3/11/2020
PAFR,Sanlam Kenya Plc,12.5,3/11/2020
PORT,East African Portland Cement Co. Ltd,16,3/11/2020
SASN,Sasini Tea and Coffee Limited,20,3/11/2020
SCAN,ScanGroup Limited,6.3,3/11/2020
SCBK,Standard Chartered Bank Limited,157.75,3/11/2020
SCOM,Safaricom Limited,31.25,3/11/2020
SGL,Standard Group Limited,25.3,3/11/2020
TCL,Trans Century Limited,1.6,3/11/2020
TOTL,Total Kenya Limited,26,3/11/2020
TPSE,TPS Eastern Africa (Serena) Limited,14.45,3/11/2020
UCHM,Uchumi Supermarket Limited,0.3,3/11/2020
UMME,Umeme Limited,7.2,3/11/2020
UNGA,Unga Group Limited,30,3/11/2020
WTK,Williamson Tea Kenya Limited,133.75,3/11/2020
XPRS,Express Kenya Limited,3.91,3/11/2020
ABSA,Absa Bank Kenya Plc,9.24,4/11/2020
ARM,ARM Cement Limited,5.55,4/11/2020
BAMB,Bamburi Cement Limited,24.35,4/11/2020
BAT,British American Tobacco (Kenya) Ltd.,345,4/11/2020
BERG,Crown Paints Kenya Limited,41.5,4/11/2020
BKG,Bank of Kigali Group Limited,12.55,4/11/2020
BOC,BOC Kenya Limited,56.5,4/11/2020
BRIT,Britam Holdings Limited,7.32,4/11/2020
C&G,Car and General (Kenya) Limited,22.5,4/11/2020
CABL,East African Cables Limited,1.54,4/11/2020
CARB,Carbacid Investments Limited,8.2,4/11/2020
CFC,Stanbic Holdings Limited,81,4/11/2020
CFCI,Liberty Kenya Holdings Limited,7.5,4/11/2020
CIC,CIC Insurance Group Limited,2.19,4/11/2020
COOP,Co-operative Bank of Kenya Limited,11.7,4/11/2020
DCON,Deacons (East Africa) Plc,0.45,4/11/2020
DTK,Diamond Trust Bank Kenya Limited,59.5,4/11/2020
EABL,East African Breweries Limited,150.5,4/11/2020
EGAD,Eaagads Limited,13.25,4/11/2020
EQTY,Equity Group Holdings Limited,32.8,4/11/2020
EVRD,Eveready East Africa Limited,1.05,4/11/2020
FAHR,STANLIB Fahari Income REIT,5.36,4/11/2020
FIRE,Sameer Africa Limited,3,4/11/2020
FTGH,Flame Tree Group Holdings Limited,1.4,4/11/2020
GLD,NewGold Exchange Traded Fund,"1,970.00",4/11/2020
HAFR,Home Afrika Limited,0.41,4/11/2020
HFCK,Housing Finance Company Limited,3.65,4/11/2020
I&M,I&M Holdings Plc,44,4/11/2020
ICDC,Centum Investment Company Limited,17.9,4/11/2020
JUB,Jubilee Holdings Limited,269,4/11/2020
KAPC,Kapchorua Tea Company Limited,80,4/11/2020
KCB,KCB Bank Kenya Limited,35.4,4/11/2020
KEGN,Kenya Electricity Generating Co. Ltd.,4.81,4/11/2020
KNRE,Kenya Re-Insurance Corporation Ltd,2.2,4/11/2020
KPLC,Kenya Power & Lighting Co. Limited,1.7,4/11/2020
KPLC-P4,Kenya Power Pref. Shares at 4%,5,4/11/2020
KPLC-P7,Kenya Power Pref. Shares at 7%,6,4/11/2020
KQ,Kenya Airways Limited,3.83,4/11/2020
KUKZ,Kakuzi Limited,370,4/11/2020
KURV,Kurwitu Ventures Limited,"1,500.00",4/11/2020
LIMT,Limuru Tea Company Limited,360,4/11/2020
LKL,Longhorn Publishers Limited,4.6,4/11/2020
MSC,Mumias Sugar Company Limited,0.28,4/11/2020
NBK,National Bank of Kenya Limited,4.12,4/11/2020
NBV,Nairobi Business Ventures Ltd,0.71,4/11/2020
NIC,NIC Bank Limited,21.75,4/11/2020
NMG,Nation Media Group,15.8,4/11/2020
NSE,Nairobi Securities Exchange Limited,7.4,4/11/2020
OCH,Olympia Capital Holdings Limited,2.14,4/11/2020
ORCH,Kenya Orchards Limited,11.05,4/11/2020
PAFR,Sanlam Kenya Plc,12.5,4/11/2020
PORT,East African Portland Cement Co. Ltd,16,4/11/2020
SASN,Sasini Tea and Coffee Limited,18,4/11/2020
SCAN,ScanGroup Limited,6.5,4/11/2020
SCBK,Standard Chartered Bank Limited,154.75,4/11/2020
SCOM,Safaricom Limited,31.15,4/11/2020
SGL,Standard Group Limited,25.3,4/11/2020
TCL,Trans Century Limited,1.5,4/11/2020
TOTL,Total Kenya Limited,24.8,4/11/2020
TPSE,TPS Eastern Africa (Serena) Limited,14.45,4/11/2020
UCHM,Uchumi Supermarket Limited,0.28,4/11/2020
UMME,Umeme Limited,7.2,4/11/2020
UNGA,Unga Group Limited,30.05,4/11/2020
WTK,Williamson Tea Kenya Limited,133,4/11/2020
XPRS,Express Kenya Limited,3.91,4/11/2020
ABSA,Absa Bank Kenya Plc,9.38,5/11/2020
ARM,ARM Cement Limited,5.55,5/11/2020
BAMB,Bamburi Cement Limited,24.95,5/11/2020
BAT,British American Tobacco (Kenya) Ltd.,350,5/11/2020
BERG,Crown Paints Kenya Limited,38,5/11/2020
BKG,Bank of Kigali Group Limited,12.55,5/11/2020
BOC,BOC Kenya Limited,56.5,5/11/2020
BRIT,Britam Holdings Limited,7.48,5/11/2020
C&G,Car and General (Kenya) Limited,22.5,5/11/2020
CABL,East African Cables Limited,1.39,5/11/2020
CARB,Carbacid Investments Limited,8.7,5/11/2020
CFC,Stanbic Holdings Limited,75.5,5/11/2020
CFCI,Liberty Kenya Holdings Limited,7.82,5/11/2020
CIC,CIC Insurance Group Limited,2.15,5/11/2020
COOP,Co-operative Bank of Kenya Limited,11.5,5/11/2020
DCON,Deacons (East Africa) Plc,0.45,5/11/2020
DTK,Diamond Trust Bank Kenya Limited,61,5/11/2020
EABL,East African Breweries Limited,150.25,5/11/2020
EGAD,Eaagads Limited,13.25,5/11/2020
EQTY,Equity Group Holdings Limited,34.65,5/11/2020
EVRD,Eveready East Africa Limited,0.99,5/11/2020
FAHR,STANLIB Fahari Income REIT,5.34,5/11/2020
FIRE,Sameer Africa Limited,3.09,5/11/2020
FTGH,Flame Tree Group Holdings Limited,1.44,5/11/2020
GLD,NewGold Exchange Traded Fund,"1,970.00",5/11/2020
HAFR,Home Afrika Limited,0.42,5/11/2020
HFCK,Housing Finance Company Limited,3.69,5/11/2020
I&M,I&M Holdings Plc,43.2,5/11/2020
ICDC,Centum Investment Company Limited,17.95,5/11/2020
JUB,Jubilee Holdings Limited,268.5,5/11/2020
KAPC,Kapchorua Tea Company Limited,80,5/11/2020
KCB,KCB Bank Kenya Limited,35.4,5/11/2020
KEGN,Kenya Electricity Generating Co. Ltd.,4.82,5/11/2020
KNRE,Kenya Re-Insurance Corporation Ltd,2.18,5/11/2020
KPLC,Kenya Power & Lighting Co. Limited,1.74,5/11/2020
KPLC-P4,Kenya Power Pref. Shares at 4%,5,5/11/2020
KPLC-P7,Kenya Power Pref. Shares at 7%,6,5/11/2020
KQ,Kenya Airways Limited,3.83,5/11/2020
KUKZ,Kakuzi Limited,370.75,5/11/2020
KURV,Kurwitu Ventures Limited,"1,500.00",5/11/2020
LIMT,Limuru Tea Company Limited,360,5/11/2020
LKL,Longhorn Publishers Limited,4.53,5/11/2020
MSC,Mumias Sugar Company Limited,0.28,5/11/2020
NBK,National Bank of Kenya Limited,4.12,5/11/2020
NBV,Nairobi Business Ventures Ltd,0.71,5/11/2020
NIC,NIC Bank Limited,22,5/11/2020
NMG,Nation Media Group,15.45,5/11/2020
NSE,Nairobi Securities Exchange Limited,8,5/11/2020
OCH,Olympia Capital Holdings Limited,2.14,5/11/2020
ORCH,Kenya Orchards Limited,11.05,5/11/2020
PAFR,Sanlam Kenya Plc,12.75,5/11/2020
PORT,East African Portland Cement Co. Ltd,16,5/11/2020
SASN,Sasini Tea and Coffee Limited,18,5/11/2020
SCAN,ScanGroup Limited,6.34,5/11/2020
SCBK,Standard Chartered Bank Limited,158,5/11/2020
SCOM,Safaricom Limited,31.25,5/11/2020
SGL,Standard Group Limited,25.3,5/11/2020
TCL,Trans Century Limited,1.6,5/11/2020
TOTL,Total Kenya Limited,24.8,5/11/2020
TPSE,TPS Eastern Africa (Serena) Limited,14.95,5/11/2020
UCHM,Uchumi Supermarket Limited,0.28,5/11/2020
UMME,Umeme Limited,7.2,5/11/2020
UNGA,Unga Group Limited,30.05,5/11/2020
WTK,Williamson Tea Kenya Limited,130,5/11/2020
XPRS,Express Kenya Limited,3.6,5/11/2020
ABSA,Absa Bank Kenya Plc,9.5,6/11/2020
ARM,ARM Cement Limited,5.55,6/11/2020
BAMB,Bamburi Cement Limited,24.7,6/11/2020
BAT,British American Tobacco (Kenya) Ltd.,350,6/11/2020
BERG,Crown Paints Kenya Limited,38,6/11/2020
BKG,Bank of Kigali Group Limited,12.55,6/11/2020
BOC,BOC Kenya Limited,56.5,6/11/2020
BRIT,Britam Holdings Limited,7.5,6/11/2020
C&G,Car and General (Kenya) Limited,22.5,6/11/2020
CABL,East African Cables Limited,1.4,6/11/2020
CARB,Carbacid Investments Limited,8.96,6/11/2020
CFC,Stanbic Holdings Limited,80,6/11/2020
CFCI,Liberty Kenya Holdings Limited,7.5,6/11/2020
CIC,CIC Insurance Group Limited,2.18,6/11/2020
COOP,Co-operative Bank of Kenya Limited,11.6,6/11/2020
DCON,Deacons (East Africa) Plc,0.45,6/11/2020
DTK,Diamond Trust Bank Kenya Limited,61,6/11/2020
EABL,East African Breweries Limited,150.75,6/11/2020
EGAD,Eaagads Limited,13.25,6/11/2020
EQTY,Equity Group Holdings Limited,35,6/11/2020
EVRD,Eveready East Africa Limited,0.9,6/11/2020
FAHR,STANLIB Fahari Income REIT,5.5,6/11/2020
FIRE,Sameer Africa Limited,3.09,6/11/2020
FTGH,Flame Tree Group Holdings Limited,1.39,6/11/2020
GLD,NewGold Exchange Traded Fund,"1,970.00",6/11/2020
HAFR,Home Afrika Limited,0.41,6/11/2020
HFCK,Housing Finance Company Limited,3.69,6/11/2020
I&M,I&M Holdings Plc,43.2,6/11/2020
ICDC,Centum Investment Company Limited,18,6/11/2020
JUB,Jubilee Holdings Limited,269,6/11/2020
KAPC,Kapchorua Tea Company Limited,80,6/11/2020
KCB,KCB Bank Kenya Limited,35.6,6/11/2020
KEGN,Kenya Electricity Generating Co. Ltd.,4.82,6/11/2020
KNRE,Kenya Re-Insurance Corporation Ltd,2.02,6/11/2020
KPLC,Kenya Power & Lighting Co. Limited,1.78,6/11/2020
KPLC-P4,Kenya Power Pref. Shares at 4%,5,6/11/2020
KPLC-P7,Kenya Power Pref. Shares at 7%,6,6/11/2020
KQ,Kenya Airways Limited,3.83,6/11/2020
KUKZ,Kakuzi Limited,372.5,6/11/2020
KURV,Kurwitu Ventures Limited,"1,500.00",6/11/2020
LIMT,Limuru Tea Company Limited,360,6/11/2020
LKL,Longhorn Publishers Limited,4.5,6/11/2020
MSC,Mumias Sugar Company Limited,0.28,6/11/2020
NBK,National Bank of Kenya Limited,4.12,6/11/2020
NBV,Nairobi Business Ventures Ltd,0.71,6/11/2020
NIC,NIC Bank Limited,21.95,6/11/2020
NMG,Nation Media Group,15.15,6/11/2020
NSE,Nairobi Securities Exchange Limited,7.76,6/11/2020
OCH,Olympia Capital Holdings Limited,2.2,6/11/2020
ORCH,Kenya Orchards Limited,11.05,6/11/2020
PAFR,Sanlam Kenya Plc,12.75,6/11/2020
PORT,East African Portland Cement Co. Ltd,16,6/11/2020
SASN,Sasini Tea and Coffee Limited,18.2,6/11/2020
SCAN,ScanGroup Limited,6.4,6/11/2020
SCBK,Standard Chartered Bank Limited,157,6/11/2020
SCOM,Safaricom Limited,31.3,6/11/2020
SGL,Standard Group Limited,25.3,6/11/2020
TCL,Trans Century Limited,1.6,6/11/2020
TOTL,Total Kenya Limited,24.7,6/11/2020
TPSE,TPS Eastern Africa (Serena) Limited,14.95,6/11/2020
UCHM,Uchumi Supermarket Limited,0.3,6/11/2020
UMME,Umeme Limited,7.18,6/11/2020
UNGA,Unga Group Limited,30.05,6/11/2020
WTK,Williamson Tea Kenya Limited,132.5,6/11/2020
XPRS,Express Kenya Limited,3.91,6/11/2020
ABSA,Absa Bank Kenya Plc,9.56,9/11/2020
ARM,ARM Cement Limited,5.55,9/11/2020
BAMB,Bamburi Cement Limited,24.65,9/11/2020
BAT,British American Tobacco (Kenya) Ltd.,336,9/11/2020
BERG,Crown Paints Kenya Limited,38,9/11/2020
BKG,Bank of Kigali Group Limited,12.55,9/11/2020
BOC,BOC Kenya Limited,56.5,9/11/2020
BRIT,Britam Holdings Limited,7.3,9/11/2020
C&G,Car and General (Kenya) Limited,22.5,9/11/2020
CABL,East African Cables Limited,1.53,9/11/2020
CARB,Carbacid Investments Limited,9.18,9/11/2020
CFC,Stanbic Holdings Limited,81,9/11/2020
CFCI,Liberty Kenya Holdings Limited,7.5,9/11/2020
CIC,CIC Insurance Group Limited,2.17,9/11/2020
COOP,Co-operative Bank of Kenya Limited,11.4,9/11/2020
DCON,Deacons (East Africa) Plc,0.45,9/11/2020
DTK,Diamond Trust Bank Kenya Limited,61.5,9/11/2020
EABL,East African Breweries Limited,151.5,9/11/2020
EGAD,Eaagads Limited,14,9/11/2020
EQTY,Equity Group Holdings Limited,34.4,9/11/2020
EVRD,Eveready East Africa Limited,0.95,9/11/2020
FAHR,STANLIB Fahari Income REIT,5.36,9/11/2020
FIRE,Sameer Africa Limited,3.39,9/11/2020
FTGH,Flame Tree Group Holdings Limited,1.35,9/11/2020
GLD,NewGold Exchange Traded Fund,"1,970.00",9/11/2020
HAFR,Home Afrika Limited,0.41,9/11/2020
HFCK,Housing Finance Company Limited,3.71,9/11/2020
I&M,I&M Holdings Plc,43.2,9/11/2020
ICDC,Centum Investment Company Limited,17.95,9/11/2020
JUB,Jubilee Holdings Limited,269,9/11/2020
KAPC,Kapchorua Tea Company Limited,80,9/11/2020
KCB,KCB Bank Kenya Limited,36.4,9/11/2020
KEGN,Kenya Electricity Generating Co. Ltd.,4.72,9/11/2020
KNRE,Kenya Re-Insurance Corporation Ltd,2.02,9/11/2020
KPLC,Kenya Power & Lighting Co. Limited,1.71,9/11/2020
KPLC-P4,Kenya Power Pref. Shares at 4%,5,9/11/2020
KPLC-P7,Kenya Power Pref. Shares at 7%,6,9/11/2020
KQ,Kenya Airways Limited,3.83,9/11/2020
KUKZ,Kakuzi Limited,365,9/11/2020
KURV,Kurwitu Ventures Limited,"1,500.00",9/11/2020
LIMT,Limuru Tea Company Limited,360,9/11/2020
LKL,Longhorn Publishers Limited,4.52,9/11/2020
MSC,Mumias Sugar Company Limited,0.28,9/11/2020
NBK,National Bank of Kenya Limited,4.12,9/11/2020
NBV,Nairobi Business Ventures Ltd,0.71,9/11/2020
NIC,NIC Bank Limited,22.1,9/11/2020
NMG,Nation Media Group,15.35,9/11/2020
NSE,Nairobi Securities Exchange Limited,8.18,9/11/2020
OCH,Olympia Capital Holdings Limited,2.2,9/11/2020
ORCH,Kenya Orchards Limited,11.05,9/11/2020
PAFR,Sanlam Kenya Plc,13.65,9/11/2020
PORT,East African Portland Cement Co. Ltd,16,9/11/2020
SASN,Sasini Tea and Coffee Limited,18.2,9/11/2020
SCAN,ScanGroup Limited,6.4,9/11/2020
SCBK,Standard Chartered Bank Limited,156.25,9/11/2020
SCOM,Safaricom Limited,30.75,9/11/2020
SGL,Standard Group Limited,25.3,9/11/2020
TCL,Trans Century Limited,1.58,9/11/2020
TOTL,Total Kenya Limited,24.7,9/11/2020
TPSE,TPS Eastern Africa (Serena) Limited,14.95,9/11/2020
UCHM,Uchumi Supermarket Limited,0.29,9/11/2020
UMME,Umeme Limited,7,9/11/2020
UNGA,Unga Group Limited,30.05,9/11/2020
WTK,Williamson Tea Kenya Limited,130,9/11/2020
XPRS,Express Kenya Limited,3.91,9/11/2020
ABSA,Absa Bank Kenya Plc,9.6,10/11/2020
ARM,ARM Cement Limited,5.55,10/11/2020
BAMB,Bamburi Cement Limited,24,10/11/2020
BAT,British American Tobacco (Kenya) Ltd.,350,10/11/2020
BERG,Crown Paints Kenya Limited,38,10/11/2020
BKG,Bank of Kigali Group Limited,12.55,10/11/2020
BOC,BOC Kenya Limited,56.5,10/11/2020
BRIT,Britam Holdings Limited,7.5,10/11/2020
C&G,Car and General (Kenya) Limited,23,10/11/2020
CABL,East African Cables Limited,1.39,10/11/2020
CARB,Carbacid Investments Limited,9.18,10/11/2020
CFC,Stanbic Holdings Limited,80,10/11/2020
CFCI,Liberty Kenya Holdings Limited,7.5,10/11/2020
CIC,CIC Insurance Group Limited,2.17,10/11/2020
COOP,Co-operative Bank of Kenya Limited,11.35,10/11/2020
DCON,Deacons (East Africa) Plc,0.45,10/11/2020
DTK,Diamond Trust Bank Kenya Limited,61.5,10/11/2020
EABL,East African Breweries Limited,155.75,10/11/2020
EGAD,Eaagads Limited,13.25,10/11/2020
EQTY,Equity Group Holdings Limited,35,10/11/2020
EVRD,Eveready East Africa Limited,0.91,10/11/2020
FAHR,STANLIB Fahari Income REIT,5.34,10/11/2020
FIRE,Sameer Africa Limited,3.4,10/11/2020
FTGH,Flame Tree Group Holdings Limited,1.38,10/11/2020
GLD,NewGold Exchange Traded Fund,"1,970.00",10/11/2020
HAFR,Home Afrika Limited,0.43,10/11/2020
HFCK,Housing Finance Company Limited,3.65,10/11/2020
I&M,I&M Holdings Plc,43.2,10/11/2020
ICDC,Centum Investment Company Limited,17.65,10/11/2020
JUB,Jubilee Holdings Limited,269.5,10/11/2020
KAPC,Kapchorua Tea Company Limited,80,10/11/2020
KCB,KCB Bank Kenya Limited,37,10/11/2020
KEGN,Kenya Electricity Generating Co. Ltd.,4.72,10/11/2020
KNRE,Kenya Re-Insurance Corporation Ltd,2.18,10/11/2020
KPLC,Kenya Power & Lighting Co. Limited,1.69,10/11/2020
KPLC-P4,Kenya Power Pref. Shares at 4%,5,10/11/2020
KPLC-P7,Kenya Power Pref. Shares at 7%,6,10/11/2020
KQ,Kenya Airways Limited,3.83,10/11/2020
KUKZ,Kakuzi Limited,365,10/11/2020
KURV,Kurwitu Ventures Limited,"1,500.00",10/11/2020
LIMT,Limuru Tea Company Limited,360,10/11/2020
LKL,Longhorn Publishers Limited,4.51,10/11/2020
MSC,Mumias Sugar Company Limited,0.28,10/11/2020
NBK,National Bank of Kenya Limited,4.12,10/11/2020
NBV,Nairobi Business Ventures Ltd,0.71,10/11/2020
NIC,NIC Bank Limited,22.5,10/11/2020
NMG,Nation Media Group,14.5,10/11/2020
NSE,Nairobi Securities Exchange Limited,7.82,10/11/2020
OCH,Olympia Capital Holdings Limited,2.2,10/11/2020
ORCH,Kenya Orchards Limited,11.05,10/11/2020
PAFR,Sanlam Kenya Plc,13.65,10/11/2020
PORT,East African Portland Cement Co. Ltd,16,10/11/2020
SASN,Sasini Tea and Coffee Limited,18.2,10/11/2020
SCAN,ScanGroup Limited,6.36,10/11/2020
SCBK,Standard Chartered Bank Limited,157,10/11/2020
SCOM,Safaricom Limited,30.95,10/11/2020
SGL,Standard Group Limited,25.3,10/11/2020
TCL,Trans Century Limited,1.56,10/11/2020
TOTL,Total Kenya Limited,24.7,10/11/2020
TPSE,TPS Eastern Africa (Serena) Limited,14.95,10/11/2020
UCHM,Uchumi Supermarket Limited,0.3,10/11/2020
UMME,Umeme Limited,7.18,10/11/2020
UNGA,Unga Group Limited,30.05,10/11/2020
WTK,Williamson Tea Kenya Limited,130,10/11/2020
XPRS,Express Kenya Limited,3.91,10/11/2020
ABSA,Absa Bank Kenya Plc,9.76,11/11/2020
ARM,ARM Cement Limited,5.55,11/11/2020
BAMB,Bamburi Cement Limited,24.05,11/11/2020
BAT,British American Tobacco (Kenya) Ltd.,364,11/11/2020
BERG,Crown Paints Kenya Limited,38,11/11/2020
BKG,Bank of Kigali Group Limited,12.6,11/11/2020
BOC,BOC Kenya Limited,60,11/11/2020
BRIT,Britam Holdings Limited,7.9,11/11/2020
C&G,Car and General (Kenya) Limited,22,11/11/2020
CABL,East African Cables Limited,1.38,11/11/2020
CARB,Carbacid Investments Limited,8.86,11/11/2020
CFC,Stanbic Holdings Limited,80,11/11/2020
CFCI,Liberty Kenya Holdings Limited,7.2,11/11/2020
CIC,CIC Insurance Group Limited,2.15,11/11/2020
COOP,Co-operative Bank of Kenya Limited,11.4,11/11/2020
DCON,Deacons (East Africa) Plc,0.45,11/11/2020
DTK,Diamond Trust Bank Kenya Limited,61.75,11/11/2020
EABL,East African Breweries Limited,163.5,11/11/2020
EGAD,Eaagads Limited,13.25,11/11/2020
EQTY,Equity Group Holdings Limited,35.95,11/11/2020
EVRD,Eveready East Africa Limited,0.95,11/11/2020
FAHR,STANLIB Fahari Income REIT,5.34,11/11/2020
FIRE,Sameer Africa Limited,3.4,11/11/2020
FTGH,Flame Tree Group Holdings Limited,1.33,11/11/2020
GLD,NewGold Exchange Traded Fund,"1,970.00",11/11/2020
HAFR,Home Afrika Limited,0.42,11/11/2020
HFCK,Housing Finance Company Limited,3.6,11/11/2020
I&M,I&M Holdings Plc,43.2,11/11/2020
ICDC,Centum Investment Company Limited,17.55,11/11/2020
JUB,Jubilee Holdings Limited,266.5,11/11/2020
KAPC,Kapchorua Tea Company Limited,80,11/11/2020
KCB,KCB Bank Kenya Limited,37.9,11/11/2020
